category,amount,description,date
Marketing,111900.61,Marketing - Dec 2025,2025-12-02
Salaries,434063.04,Salaries - Dec 2025,2025-12-03
Rent,119900.0,Rent - Dec 2025,2025-12-06
Utilities,37818.76,Utilities - Dec 2025,2025-12-03
Packaging,103022.19,Packaging - Dec 2025,2025-12-10
Ingredients,502347.33,Ingredients - Jan 2026,2026-01-02
Freight,205549.48,Freight - Jan 2026,2026-01-04
Marketing,119865.76,Marketing - Jan 2026,2026-01-07
Salaries,449022.41,Salaries - Jan 2026,2026-01-09
Rent,121550.0,Rent - Jan 2026,2026-01-08
Utilities,43314.37,Utilities - Jan 2026,2026-01-02
Packaging,156698.24,Packaging - Jan 2026,2026-01-11
Ingredients,433205.08,Ingredients - Feb 2026,2026-02-08
Freight,155820.98,Freight - Feb 2026,2026-02-02
Marketing,108481.65,Marketing - Feb 2026,2026-02-03
Salaries,447921.55,Salaries - Feb 2026,2026-02-03
Rent,123200.0,Rent - Feb 2026,2026-02-08
Utilities,42160.26,Utilities - Feb 2026,2026-02-08
Packaging,163581.7,Packaging - Feb 2026,2026-02-11
Ingredients,535594.14,Ingredients - Mar 2026,2026-03-09
Freight,204814.5,Freight - Mar 2026,2026-03-03
Marketing,103486.94,Marketing - Mar 2026,2026-03-10
Salaries,452221.26,Salaries - Mar 2026,2026-03-11
Rent,124850.0,Rent - Mar 2026,2026-03-02
Utilities,38655.37,Utilities - Mar 2026,2026-03-03
Packaging,136012.76,Packaging - Mar 2026,2026-03-11
Ingredients,587357.05,Ingredients - Apr 2026,2026-04-09
Freight,147228.43,Freight - Apr 2026,2026-04-02
Marketing,93933.08,Marketing - Apr 2026,2026-04-04
Salaries,476539.5,Salaries - Apr 2026,2026-04-05
Rent,126500.0,Rent - Apr 2026,2026-04-07
Utilities,42724.72,Utilities - Apr 2026,2026-04-09
Packaging,137883.46,Packaging - Apr 2026,2026-04-05
Ingredients,520494.55,Ingredients - May 2026,2026-05-06
Freight,143138.33,Freight - May 2026,2026-05-08
Marketing,127141.07,Marketing - May 2026,2026-05-05
Salaries,488548.13,Salaries - May 2026,2026-05-08
Rent,128150.0,Rent - May 2026,2026-05-07
Utilities,39506.58,Utilities - May 2026,2026-05-04
Packaging,139553.05,Packaging - May 2026,2026-05-02
Ingredients,614253.5,Ingredients - Jun 2026,2026-06-06
Freight,211181.28,Freight - Jun 2026,2026-06-03
Marketing,102531.28,Marketing - Jun 2026,2026-06-06
Salaries,496158.14,Salaries - Jun 2026,2026-06-08
Rent,129800.0,Rent - Jun 2026,2026-06-10
Utilities,42427.97,Utilities - Jun 2026,2026-06-07
Packaging,156912.38,Packaging - Jun 2026,2026-06-11
Ingredients,562696.4,Ingredients - Jul 2026,2026-07-03
Freight,214604.63,Freight - Jul 2026,2026-07-06
Marketing,135618.44,Marketing - Jul 2026,2026-07-02
Salaries,495190.15,Salaries - Jul 2026,2026-07-06
Rent,131450.0,Rent - Jul 2026,2026-07-06
Utilities,44304.46,Utilities - Jul 2026,2026-07-11
Packaging,108920.47,Packaging - Jul 2026,2026-07-04
Ingredients,558773.52,Ingredients - Aug 2026,2026-08-05
Freight,129742.72,Freight - Aug 2026,2026-08-06
Marketing,88882.69,Marketing - Aug 2026,2026-08-04
Salaries,504935.96,Salaries - Aug 2026,2026-08-03
Rent,133100.0,Rent - Aug 2026,2026-08-10
Utilities,44910.73,Utilities - Aug 2026,2026-08-07
Packaging,178484.24,Packaging - Aug 2026,2026-08-05
